PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_USR,HASH_ID
,엄청난 부자2,arbitrary precision / big integers arithmetic math,,1271000
,특별 노드,dp tree dp tree,,1272000
,샷,ds prefix sum segtree,,1273000
,커피숍1,,,1274000
,커피숍2,segtree ds,,1275000
,PLATFORME,impl sorting,,1276000
,발전소 설치,dijkstra's graph,,1277000
,연극,math recursion,,1278000
,내멋대로 주사위,combinatorics dp knapsack math,,1279000
,나무 심기,ds segtree,,1280000
,보석상,duality flow hungarian lp mcmf,,1281000
,P-수열,dp,,1282000
,단축키 지정,impl string,,1283000
,집 주소,arithmetic impl math,,1284000
,동전 뒤집기,bitmask bruteforce greedy,,1285000
,부분 직사각형,combinatorics math,,1286000
,할 수 있다,arithmetic case work impl math parsing string,,1287000
,전쟁 - 국지전,,,1288000
,트리의 가중치,dp tree dp math tree,,1289000
,배럭,bruteforce greedy impl math simulation,,1290000
,이면수와 임현수,case work impl math number theory primality test,,1291000
,쉽게 푸는 문제,impl math,,1292000
,생물농축,dfs dp graph traversal knapsack topological sorting,,1293000
,문자열 장식,greedy sorting string,,1294000
,평면도,,,1295000
,팀 이름 정하기,impl string,,1296000
,TV 크기,pythagoras thm geom,,1297000
,노트북의 주인을 찾아서,bipartite matching,,1298000
,전쟁 - 탈출편2,dijkstra's graph,,1299000
,K번째 수,binary search parametric search,,1300000
,비즈 공예,dp,,1301000
,베스트셀러,ds hashset sorting string,,1302000
,전쟁 - 전투,bfs dfs graph traversal,,1303000
,지역,bruteforce graph traversal,,1304000
,광고,kmp string,,1305000
,달려라 홍준,ds segtree sliding window,,1306000
,마방진,ad-hoc impl,,1307000
,D-Day,impl,,1308000
,동물원,dp,,1309000
,달리기 코스,convex hull geom rotating calipers,,1310000
,할 일 정하기 1,bitmask dp bitfield dp,,1311000
,소수,math,,1312000
,동굴 탐험,bitmask dijkstra's dp bitfield dp graph,,1314000
,RPG,dp,,1315000
,그룹 단어 체커,impl string,,1316000
,그룹 단어,,,1317000
,포커,bruteforce case work impl precomputation,,1318000
,지민 vs 한수,geom sweeping,,1319000
,군인,binary search ds segtree,,1321000
,X와 K,bitmask math,,1322000
,숫자 연결하기,math number theory pigeonhole,,1323000
,젠장,dp,,1324000
,효율적인 해킹,bfs dfs graph traversal,,1325000
,폴짝폴짝,bfs graph traversal,,1326000
,소트 게임,bfs ds graph traversal hashset treeset,,1327000
,고층 빌딩,combinatorics dp math,,1328000
,증가 수열,,,1329000
,두 수 비교하기,impl,,1330000
,나이트 투어,impl simulation,,1331000
,풀자,bruteforce,,1332000
,부재중 전화,impl simulation,,1333000
,다음 팰린드롬 수,,,1334000
,여섯 쌍 서로소,crt discrete logarithm fft math möbius inversion number theory,,1335000
,수열의 개수 NKD,dp prefix sum,,1336000
,올바른 배열,impl sorting two-pointer,,1337000
,알 수 없는 번호,case work math,,1338000
,단어 수학,greedy,,1339000
,연도 진행바,impl parsing string,,1340000
,사이좋은 형제,impl math,,1341000
,행운의 문자열,bruteforce,,1342000
,폴리오미노,greedy,,1343000
,축구,combinatorics dp math probability,,1344000
,등차수열,arbitrary precision / big integers math parametric search,,1345000
,탑을 향해서,dp graph scc,,1346000
,미로 만들기,impl simulation,,1347000
,주차장,bfs binary search bipartite matching graph traversal,,1348000
,건축가의 나라,,,1349000
,진짜 공간,arithmetic math,,1350000
,무한 수열,ds dp hashset,,1351000
,문자열,backtrack greedy,,1352000
,합과 곱,math,,1353000
,무한 수열 2,ds dp hashset treeset,,1354000
